head	relation	tail
accountant	CapableOf	prepare income taxes
runner	CapableOf	trip himself
child	CapableOf	watch cartoons
worker	CapableOf	bicycle to work
dog	CapableOf	trip over rope
boxer	CapableOf	box another
hero	CapableOf	battle enemy
child	CapableOf	reach cookie jar
secretary	CapableOf	receive message
policeman	CapableOf	offer jailtime to criminal
enemy	CapableOf	holding secret weapon
student	CapableOf	listen carefully
horse	CapableOf	drink water
human	CapableOf	buy object
batter	CapableOf	hit ball
clerk	CapableOf	ship package
person	CapableOf	value desires
student	CapableOf	think
friend	CapableOf	laugh at jokes
waitress	CapableOf	return with meal
police officer	CapableOf	direct traffic
doctor	CapableOf	touch lymph nodes
runner	CapableOf	trip on second base
person	CapableOf	spread peanut butter
child	CapableOf	press sticker onto paper
person	CapableOf	bank at atm
guard	CapableOf	guard prison
person	CapableOf	trust friend to honest
guest	CapableOf	stay overnight
friend	CapableOf	write letter
child	CapableOf	choose toy
person	CapableOf	busy themselves with task
batter	CapableOf	hit baseball
child	CapableOf	lift cup
salesman	CapableOf	traveling country with wares
politician	CapableOf	state opinion
leader	CapableOf	chair panel
student	CapableOf	succeed in class
leader	CapableOf	head group
person	CapableOf	duck to avoid hitting head
speaker	CapableOf	measure words
child	CapableOf	dress doll in play
animal	CapableOf	eating
pets	CapableOf	live in houses
person	CapableOf	purchase items on mail order
cat	CapableOf	meow
person	CapableOf	bicycle across town
police officer	CapableOf	case
spider	CapableOf	catch flies
person	CapableOf	eat shrimp for dinner
brother	CapableOf	needle sister
child	CapableOf	climb tree
employee	CapableOf	forget assignment
person	CapableOf	speak language
parent	CapableOf	school child at home
child	CapableOf	bring flowers to mother
witness	CapableOf	sign document
judge	CapableOf	decide criminal's sentence
baby	CapableOf	cry
parent	CapableOf	will estate
human	CapableOf	laugh about humor
child	CapableOf	doctor sick pet
rooster	CapableOf	service hen house
person	CapableOf	ride board on ocean
baker	CapableOf	burn batch of cookies
bull	CapableOf	charging prey
dog	CapableOf	guard property
person	CapableOf	meet friend for lunch
person	CapableOf	sleep in late
person	CapableOf	feel sheepish
nurse	CapableOf	take pulse
wolf	CapableOf	mark territory
person	CapableOf	wear sweater
horse	CapableOf	jump across fence
grass	CapableOf	wave in wind
doctor	CapableOf	visit patient at home
fan	CapableOf	shout during game
parent	CapableOf	allow children to draw with crayons
pilot	CapableOf	circle airport
sleeper	CapableOf	dream dreams
parent	CapableOf	name child
seller	CapableOf	market goods
person	CapableOf	row rowboat
person	CapableOf	stand on one leg
person	CapableOf	train pig
scientist	CapableOf	head research team
criminal	CapableOf	scape from prison
person	CapableOf	analyze color in painting
human	CapableOf	talk to human
lady	CapableOf	fish for compliments
person	CapableOf	appear to sad
tailor	CapableOf	produce shirt
artist	CapableOf	paint person
cat	CapableOf	hunt for mice in yard
person	CapableOf	journey across desert
plumber	CapableOf	fix leaky pipe
patient	CapableOf	visit doctor
mechanic	CapableOf	true wheels
cook	CapableOf	follow recipie
librarian	CapableOf	locate information
student	CapableOf	go to high school
supervisor	CapableOf	group projects
pain	CapableOf	anger animal
student	CapableOf	complete test
repairman	CapableOf	wind watchspring very fast
student	CapableOf	honor sensei
policeman	CapableOf	arrest criminals
worker	CapableOf	bank paycheck
person	CapableOf	butter toast before eating
leader	CapableOf	fire up troops
person	CapableOf	absorb moisture
employee	CapableOf	please boss
dealer	CapableOf	deal cards in card game
chef	CapableOf	add herbs to soup
crab	CapableOf	live on wet rocks
friend	CapableOf	wave good bye
pilot	CapableOf	fly to another state
child	CapableOf	wet pants
worker	CapableOf	spend time on project
person	CapableOf	wait for while
friend	CapableOf	coming home
criminal	CapableOf	lie to court
cat	CapableOf	watch mouse
horse	CapableOf	carry person
chef	CapableOf	cook poorly
leader	CapableOf	chair meetings
grandmother	CapableOf	visit here grandchildren
fish	CapableOf	find food
student	CapableOf	guess answers on test
wolf	CapableOf	give howl
person	CapableOf	lay carpet
strong person	CapableOf	face difficult situation
person	CapableOf	fail
person	CapableOf	talking to else
person	CapableOf	cook potatoe pancakes
electrician	CapableOf	servicing washing machine
grass	CapableOf	grow with water
person	CapableOf	live without appendix
lady	CapableOf	fancy slice of cake
cat	CapableOf	sleep most of day
person	CapableOf	come home
criminal	CapableOf	wrong another person
person	CapableOf	eat somthing healthy to live longer
policeman	CapableOf	notice crime
duck	CapableOf	mother ducklings
teacher	CapableOf	erase blackboard
person	CapableOf	fill bottle
cat	CapableOf	wash itself with tongue
neighbor	CapableOf	fence property
pets	CapableOf	become agressive
student	CapableOf	perfect penmanship while writing
plumber	CapableOf	fit pipe
cook	CapableOf	butter toast
person	CapableOf	hollow out cavity
pilot	CapableOf	flying plane
child	CapableOf	pulling wagon
cook	CapableOf	dress turkey
witness	CapableOf	state name
criminal	CapableOf	expect to go to jail
cat	CapableOf	eat fish
friend	CapableOf	return phone call
student	CapableOf	write notes on index cards
scientist	CapableOf	discover star
person	CapableOf	guard treasure
leader	CapableOf	present people new hope
human	CapableOf	need money
cashier	CapableOf	take money
enemy	CapableOf	storm castle
actor	CapableOf	star in broadway show
person	CapableOf	shore up defences
person	CapableOf	rush job
person	CapableOf	step over sleeping cat
person	CapableOf	borrow clothes
teacher	CapableOf	talk to class
skunk	CapableOf	spray
psychiatrist	CapableOf	listen to neurotic person's fears
person	CapableOf	learn how to do mosaic tiling
person	CapableOf	sign agreement
animal	CapableOf	move itself about
parent	CapableOf	reason with child
policeman	CapableOf	believe guilty
child	CapableOf	build with blocks
dealer	CapableOf	deal hand of cards
person	CapableOf	enter college
pastor	CapableOf	offer solace
actor	CapableOf	star in movie
person	CapableOf	separate things
child	CapableOf	complete grammer school
cook	CapableOf	ring dinner bell
person	CapableOf	learn from mistakes
child	CapableOf	form opinions
student	CapableOf	remember or phone number
customer	CapableOf	pay bills
king	CapableOf	rule peasants
person	CapableOf	desire to do action
hero	CapableOf	stand alone
person	CapableOf	ducking behind object
guard	CapableOf	guard castle
vet	CapableOf	hold cat
mum	CapableOf	iron shirt
strong person	CapableOf	bicycle for many miles
person	CapableOf	beat computer at game
person	CapableOf	win race
person	CapableOf	talk on telephone
rabbit	CapableOf	appear suddenly
prisoner	CapableOf	fast as means of protest
company	CapableOf	ship container
liar	CapableOf	cook up story
child	CapableOf	wish for new bicycle
person	CapableOf	drink latte
person	CapableOf	smelly
customer	CapableOf	order french fries
prisoner	CapableOf	scape from jail
person	CapableOf	check snow level
child	CapableOf	learn
iguana	CapableOf	pet
person	CapableOf	drown in water
controller	CapableOf	control device
waiter	CapableOf	quarter dessert
leader	CapableOf	lead pack
bird	CapableOf	land on branch
person	CapableOf	do strew things around
landlord	CapableOf	let flat
person	CapableOf	gain experience as grows older
cat	CapableOf	equal feline
person	CapableOf	return home
librarian	CapableOf	find book on shelf
person	CapableOf	study greek
judge	CapableOf	fix ticket
company	CapableOf	mail advertisements
person	CapableOf	report to boss
person	CapableOf	fancy else
person	CapableOf	prove point
thief	CapableOf	steal from store
chicken	CapableOf	lay egg
person	CapableOf	wear anorak
teacher	CapableOf	spend time wisely
child	CapableOf	light up life
student	CapableOf	wait for test scores
teacher	CapableOf	mark papers
person	CapableOf	need to do
person	CapableOf	bone up on
person	CapableOf	type on mail envelope
person	CapableOf	step up
person	CapableOf	sit up
mule	CapableOf	walk down into grand canyon
child	CapableOf	stay home sick from school
person	CapableOf	wet bed
boxer	CapableOf	fight opponent
smoker	CapableOf	burn barn down
human	CapableOf	own material things
human	CapableOf	row boat
employee	CapableOf	air complaint
priest	CapableOf	put congregation to sleep
runner	CapableOf	attempt to to break previous records
teacher	CapableOf	even student's chances
batter	CapableOf	crowd plate
person	CapableOf	drive to mountains
cat	CapableOf	mother kits
politician	CapableOf	promise impossible things will happen
salesperson	CapableOf	closing deal
real estate agent	CapableOf	charming
mug	CapableOf	hold liquid
child	CapableOf	hurry home from school
plant	CapableOf	bloom
person	CapableOf	see colors
person	CapableOf	build computer
person	CapableOf	serve food on plate
child	CapableOf	fight with brother
mind	CapableOf	reason intuitively
cook	CapableOf	separate eggs
walker	CapableOf	step over small stream
cat	CapableOf	trip owner
person	CapableOf	stock pantry
teacher	CapableOf	speaking to class
dolphin	CapableOf	wave fin
guest	CapableOf	bring wine to party
priest	CapableOf	fast for forty days
criminal	CapableOf	rob bank
bully	CapableOf	corner
person	CapableOf	allow visitor to come in
person	CapableOf	bring gift
person	CapableOf	seal with wax
waiter	CapableOf	wears black
teacher	CapableOf	mark paper for mistakes
person	CapableOf	drink hot milo
dog	CapableOf	listen to master
teacher	CapableOf	cup child's chin
child	CapableOf	stand on chair
cook	CapableOf	butter piece of toast
customer	CapableOf	pay for meal
worker	CapableOf	bag trash
snake	CapableOf	sun hide
translator	CapableOf	understand german
person	CapableOf	analyze speech
cat	CapableOf	fancy certain foods over others
queen	CapableOf	wave hand from wrist
worm	CapableOf	turn into buterfly
person	CapableOf	can vegetables
mind	CapableOf	hold thought
person	CapableOf	even score
batter	CapableOf	miss ball
worker	CapableOf	labor to build
cat	CapableOf	land upright
person	CapableOf	work at home
parent	CapableOf	gift money to offspring
life	CapableOf	last 100 years
pain	CapableOf	provide information to person
pilot	CapableOf	land plane
person	CapableOf	head committee
fool	CapableOf	pick nose
plumber	CapableOf	rush job
person	CapableOf	man stationary gun
pilot	CapableOf	man airplane
boxer	CapableOf	punch
employee	CapableOf	make up lost time
doctor	CapableOf	distance himself
guide	CapableOf	point out scenic features
student	CapableOf	circle word
life	CapableOf	cause death
plant	CapableOf	suffering dehydration
criminal	CapableOf	face charges
politician	CapableOf	divide nation
tour guide	CapableOf	help find gazelle
bartender	CapableOf	mix drink
teacher	CapableOf	evaluate progress
shopper	CapableOf	eye new pair of shoes
cat	CapableOf	rest all day
person	CapableOf	enjoy ride on pony
waiter	CapableOf	serve meal
dog	CapableOf	calm mind
love	CapableOf	cloud one's vision
psychiatrist	CapableOf	end session
judge	CapableOf	object to verdict
worker	CapableOf	demand raise
child	CapableOf	own toy
policeman	CapableOf	fine person ticket
person	CapableOf	laugh while holding corndog
person	CapableOf	fight injustice
surgeon	CapableOf	hold scalpal
friend	CapableOf	travel across country
person	CapableOf	say love
thief	CapableOf	take else's property
preacher	CapableOf	save soul
client	CapableOf	trust salesman to lie
person	CapableOf	step on bug
person	CapableOf	long for summer weather to arrive
parent	CapableOf	lower boom
person	CapableOf	sleep in oklahoma
parent	CapableOf	name baby
person	CapableOf	move to los angeles
child	CapableOf	read book
nurse	CapableOf	mother patient
company	CapableOf	commit crime
criminal	CapableOf	face accuser
teacher	CapableOf	prepare dinner
prisoner	CapableOf	fast for days
cat	CapableOf	jump much higher than height
waiter	CapableOf	refill glass
baker	CapableOf	visit website
person	CapableOf	put on hat
police officer	CapableOf	fine speeder
person	CapableOf	forget has to work
representative	CapableOf	speak for another person
dog	CapableOf	wear collar
person	CapableOf	eat vegetable
child	CapableOf	roll downhill on skates
witness	CapableOf	gain reward from police
cook	CapableOf	double recipe
student	CapableOf	fool teacher
horse	CapableOf	passing field
student	CapableOf	do mathematics
blood	CapableOf	coursing through veins
person	CapableOf	touch wood
waiter	CapableOf	present bill
person	CapableOf	experience life
child	CapableOf	take music lessons
person	CapableOf	master skills
prisoner	CapableOf	scape jail
cat	CapableOf	hunt for mice
snake	CapableOf	sun itself
doctor	CapableOf	belong to ppo
person	CapableOf	find had lost
professor	CapableOf	carve rock
person	CapableOf	love objects
chef	CapableOf	thin potatos
friend	CapableOf	rely on
person	CapableOf	mind remark
soldier	CapableOf	lay down weapon
baker	CapableOf	flower table
banker	CapableOf	lending money to
person	CapableOf	drink liquids
minister	CapableOf	offer solace
person	CapableOf	reply needs more information
diner	CapableOf	object to overcooked meat
person	CapableOf	view picture
cook	CapableOf	bread chicken
child	CapableOf	ring doorbell
student	CapableOf	not easily remember or phone number
person	CapableOf	gain access to confidential file
person	CapableOf	trip another person
